pk_teuna_fikt,SEMEL_YISHUV,HODESH_TEUNA,SUG_DEREH,SUG_YOM,YOM_LAYLA,YOM_BASHAVUA,HUMRAT_TEUNA,PNE_KVISH,X,Y,lat,lon
2023001404,0,1,not urban not junction,non holiday,day,Monday,light,dry,221008.0,773936.0,33.060596265935004,35.22105622176072
2023001413,0,2,not urban not junction,non holiday,night,Wednesday,light,unknown,210537.0,776854.0,33.08687109751106,35.108907139097646
2023001416,0,4,not urban not junction,holiday,night,Thursday,light,dry,223890.0,637663.0,31.831752833643833,35.2512754885455
2023001438,8300,7,urban not junction,non holiday,night,Saturday,severe,unknown,178059.0,653489.0,31.97372863465511,34.766474184231164
2023001444,7200,4,urban junction,non holiday,day,Tuesday,light,dry,181005.0,647998.0,31.9243148262965,34.79785906731619
2023001445,4000,8,urban not junction,non holiday,day,Monday,light,dry,202295.0,744352.0,32.79371141980659,35.021233256533634
2023001452,6600,8,urban junction,non holiday,day,Monday,light,dry,181289.0,658132.0,32.01571193169429,34.80046201400217
2023001462,7100,6,urban junction,non holiday,day,Monday,light,dry,160572.0,620557.0,31.67598103410126,34.5834678591518
2023001470,0,6,not urban junction,non holiday,night,Wednesday,light,dry,239530.0,733038.0,32.69164399322023,35.41849607048276
2023001472,8700,3,urban not junction,non holiday,day,Sunday,severe,unknown,187921.0,676946.0,32.1855768919861,34.870039196296425
2023001502,0,9,not urban not junction,non holiday,night,Sunday,severe,dry,192678.0,692035.0,32.32176707893755,34.92005826203438
2023001509,2200,7,urban not junction,non holiday,night,Saturday,severe,dry,202527.0,552886.0,31.067046429036655,35.02705584105878
2023001515,9800,7,urban not junction,non holiday,day,Sunday,light,dry,195811.0,714250.0,32.522159322458265,34.95277456527005
2023001535,6800,3,urban not junction,holiday,day,Tuesday,light,dry,210178.0,744771.0,32.797584326945966,35.10538490415297
2023001550,5000,4,urban junction,non holiday,day,Thursday,light,dry,178633.0,662478.0,32.054810600793346,34.77216639832068
2023001551,0,8,not urban not junction,non holiday,night,Saturday,light,dry,210125.0,732571.0,32.68757625161523,35.10494137095679
2023001559,0,6,not urban not junction,non holiday,day,Tuesday,severe,unknown,191338.0,702561.0,32.41665184229258,34.90551558571663
2023001571,2640,11,urban not junction,non holiday,day,Thursday,severe,dry,196921.0,665426.0,32.08190781316097,34.96574531795875
2023001590,9000,12,urban junction,non holiday,night,Thursday,light,unknown,180188.0,572345.0,31.242014099343304,34.79223406937437
2023001599,3780,4,urban not junction,non holiday,day,Sunday,severe,unknown,210479.0,623308.0,31.702266837126658,35.10974156781467
2023001608,1296,7,urban not junction,non holiday,day,Saturday,severe,unknown,228769.0,763766.0,32.968858408843055,35.30405572349652
2023001656,0,11,not urban junction,non holiday,day,Friday,light,dry,177527.0,660491.0,32.036851841725735,34.760541844240265
2023001658,7400,2,urban not junction,non holiday,night,Monday,light,dry,186316.0,692648.0,32.327124471044726,34.85247415763957
2023001664,0,3,not urban junction,holiday,day,Tuesday,light,dry,210486.0,764906.0,32.97914033890562,35.108477694315006
2023001682,831,3,urban not junction,non holiday,day,Wednesday,severe,unknown,193469.0,543966.0,30.986428287867078,34.93237610500909
2023001712,8600,9,urban junction,non holiday,day,Friday,severe,dry,181260.0,665521.0,32.08234347753117,34.79986206083861
2023001714,3000,4,urban junction,non holiday,day,Tuesday,light,dry,218957.0,632486.0,31.785073273764205,35.19916883223812
2023001720,4000,9,urban junction,holiday eve,night,Saturday,light,dry,196626.0,746612.0,32.81398639313027,34.960657918197846
2023001732,382,3,urban not junction,non holiday,day,Sunday,severe,dry,188311.0,701421.0,32.4062916151668,34.87337356616836
2023001758,5000,2,urban junction,non holiday,day,Monday,light,dry,180659.0,667465.0,32.0998534654298,34.7934178887903
2023001767,154,4,urban not junction,non holiday,night,Tuesday,light,dry,191957.0,683896.0,32.24835558267107,34.91263650498721
2023001783,3000,10,urban not junction,non holiday,day,Wednesday,severe,unknown,220976.0,632344.0,31.783791750265493,35.220485405661094
2023001791,0,2,not urban not junction,non holiday,day,Thursday,severe,unknown,203950.0,657654.0,32.01193834005288,35.04032169512302
2023001804,6400,4,urban junction,non holiday,day,Saturday,light,dry,183005.0,674646.0,32.16468777741868,34.817998285412905
2023001811,3000,6,urban junction,non holiday,day,Wednesday,severe,dry,220581.0,631619.0,31.777253863775865,35.21631417629171
2023001812,0,12,not urban not junction,non holiday,night,Thursday,severe,dry,246520.0,628990.0,31.753224673862185,35.49008321659534
2023001832,8600,8,urban not junction,non holiday,day,Tuesday,severe,dry,184820.0,662160.0,32.05214938518068,34.83769016520149
2023001833,7400,7,urban junction,non holiday,day,Wednesday,light,dry,187201.0,692844.0,32.32891775712497,34.861866499838406
